Time (s),Main Avg Current (mA),Main Avg Voltage (V)
10.5600,0.012,2.9975
10.5620,0,2.9975
10.5640,0.014,2.9975
10.5660,0.006,2.9975
10.5680,0.014,2.9975
10.5700,0.012,2.9975
10.5720,0.012,2.9975
10.5740,0.008,2.9975
10.5760,0.012,2.9985
10.5780,0.006,2.9975
10.5800,0.012,2.997
10.5820,0.012,2.9975
10.5840,0.012,2.997
10.5860,0.006,2.9975
10.5880,0.012,2.997
10.5900,0.004,2.9975
10.5920,0.016,2.997
10.5940,0.012,2.9975
10.5960,0.006,2.997
10.5980,0.008,2.9975
10.6000,0.008,2.997
10.6020,0.194,2.997
10.6040,2.762,2.9955
10.6060,0.762,2.997
10.6080,0.012,2.9975
10.6100,0.014,2.9975
10.6120,0.014,2.9975
10.6140,0.008,2.9985
10.6160,0.012,2.9975
10.6180,0.014,2.997
10.6200,0.006,2.9985
10.6220,0.008,2.9975
10.6240,0.012,2.997
10.6260,0.014,2.9975
10.6280,0.008,2.9975
10.6300,0,2.9975
10.6320,0.004,2.9975
10.6340,0.012,2.9975
10.6360,0.008,2.9975
10.6380,0.014,2.9985
10.6400,0.012,2.9975
10.6420,0.014,2.9975
10.6440,0.012,2.997
10.6460,0.014,2.9975
10.6480,0.012,2.9975
10.6500,0.008,2.9975
10.6520,0.006,2.997
10.6540,0.008,2.9985
10.6560,0.014,2.9975
10.6580,0.014,2.9975
10.6600,0.012,2.9975
10.6620,0.012,2.9975
10.6640,0.014,2.997
10.6660,0.014,2.9985
10.6680,0.012,2.997
10.6700,0.006,2.997
10.6720,0.012,2.9975
10.6740,0.012,2.997
10.6760,0.016,2.9985
10.6780,0.006,2.9975
10.6800,0.006,2.9985
10.6820,0.006,2.9975
10.6840,0.006,2.9975
10.6860,0.012,2.9985
10.6880,0.012,2.9975
10.6900,0.008,2.9975
10.6920,0.008,2.9975
10.6940,0.006,2.997
10.6960,0.012,2.9975
10.6980,0.008,2.9975
10.7000,0.008,2.997
10.7020,0.012,2.9975
10.7040,0.014,2.9975
10.7060,0.006,2.9975
10.7080,0.014,2.9975
10.7100,0.014,2.997
10.7120,0.014,2.9975
10.7140,0.004,2.9975
10.7160,0.006,2.997
10.7180,0.016,2.9975
10.7200,0.012,2.9975
10.7220,0.014,2.9985
10.7240,0.014,2.9975
10.7260,0.006,2.9975
10.7280,0.012,2.9975
10.7300,0.012,2.9985
10.7320,0.012,2.9975
10.7340,0.012,2.9975
10.7360,0.014,2.9985
10.7380,0.006,2.9975
10.7400,0.006,2.997
10.7420,0.012,2.9985
10.7440,0.016,2.9975
10.7460,0.014,2.9975
10.7480,0.014,2.9985
10.7500,0.008,2.9975
10.7520,0.014,2.9975
10.7540,0.014,2.9975
10.7560,0.012,2.9975
10.7580,0.012,2.9975
10.7600,0.008,2.9975
10.7620,0.012,2.9985
10.7640,0.014,2.9975
10.7660,0.012,2.9975
10.7680,0.008,2.999
10.7700,0.006,2.997
10.7720,0.014,2.9975
10.7740,0.008,2.9975
10.7760,0.012,2.9975
10.7780,0.008,2.9975
10.7800,0.016,2.997
10.7820,0.012,2.997
10.7840,0.012,2.9975
10.7860,0.006,2.997
10.7880,0.008,2.9975
10.7900,0.012,2.9975
10.7920,0.008,2.9975
10.7940,0.006,2.9975
10.7960,0.014,2.9985
10.8000,0.004,2.9975
10.8020,0.008,2.9975
10.8040,0.006,2.9975
10.8060,0.008,2.9985
10.8080,0.004,2.9975
10.8100,0.006,2.997
10.8120,0.012,2.9975
10.8140,0.008,2.9975
10.8160,0.016,2.9985
10.8180,0.012,2.9975
10.8200,0.014,2.9975
10.8220,0.004,2.9975
10.8240,0.016,2.9975
10.8260,0.008,2.9975
10.8280,0.012,2.9975
10.8300,0.008,2.997
10.8320,0.006,2.9975
10.8340,0.208,2.9985
10.8360,0.006,2.997
10.8380,0.016,2.9985
10.8400,0.012,2.9975
10.8420,0.008,2.9975
10.8440,0.014,2.9985
10.8460,0.014,2.9975
10.8480,0.004,2.997
10.8500,0.016,2.997
10.8520,0.008,2.9975
10.8540,0.016,2.9975
10.8560,0.012,2.9985
10.8580,0.008,2.9975
10.8600,0.008,2.9975
10.8620,0.014,2.9975
10.8640,0.008,2.9975
10.8660,0.008,2.9985
10.8680,0.014,2.9975
10.8700,0.012,2.9975
10.8720,-0.002,2.9985
10.8740,0.008,2.9975
10.8760,0.012,2.9975
10.8780,0.012,2.997
10.8800,0.006,2.9975
10.8820,0.006,2.9975
10.8840,0.02,2.9975
10.8860,0.008,2.9975
10.8880,0.008,2.9975
10.8900,0.006,2.9975
10.8920,0.014,2.9975
10.8940,0.006,2.9975
10.8960,0.008,2.9975
10.8980,0.014,2.9975
10.9000,0.016,2.9975
10.9020,0.008,2.9975
10.9040,0.014,2.9975
10.9060,0.014,2.9975
10.9080,0.014,2.9975
10.9100,0.008,2.9975
10.9120,0.008,2.9975
10.9140,0.008,2.9975
10.9160,0.016,2.9975
10.9180,0.012,2.9975
10.9200,0.014,2.997
10.9220,0.008,2.9975
10.9240,0.012,2.9975
10.9260,0.008,2.997
10.9280,0.02,2.9975
10.9300,0.02,2.9975
10.9320,0.012,2.9985
10.9340,0.006,2.997
10.9360,0.008,2.9975
10.9380,0.014,2.9985
10.9400,0.014,2.997
10.9420,0.012,2.9975
10.9440,0.012,2.9975
10.9460,0.004,2.9985
10.9480,0.006,2.997
10.9500,0.006,2.9975
10.9520,0.004,2.9985
10.9540,0.008,2.997
10.9560,0.004,2.9975
10.9580,0.014,2.9975
10.9600,0.008,2.9975
10.9620,0.008,2.9975
10.9640,0.012,2.9975
10.9660,0.016,2.9975
10.9680,0.008,2.9975
10.9700,0.008,2.9975
10.9720,0.012,2.9985
10.9740,0.204,2.9975
10.9760,0.008,2.997
10.9780,0.012,2.9975
10.9800,0.008,2.9985
10.9820,0.014,2.9975
10.9840,0.014,2.9975
10.9860,0.014,2.9985
10.9880,0.014,2.9975
10.9900,0.006,2.9975
10.9920,0.008,2.997
10.9940,0.008,2.9975
10.9960,0.014,2.9975
10.9980,0.014,2.997
11.0000,0.012,2.9975
11.0020,0.014,2.9975
11.0040,0.008,2.9975
11.0060,0.008,2.9985
11.0080,0.014,2.9985
11.0100,0.02,2.9975
11.0120,0.008,2.9975
11.0140,0.008,2.9975
11.0160,0.006,2.9975
11.0180,0.012,2.9975
11.0200,0.008,2.997
11.0220,0.014,2.9975
11.0240,0.014,2.9975
11.0260,0.006,2.9975
11.0280,0.016,2.9975
11.0300,0.014,2.9975
11.0320,0.014,2.9975
11.0340,0.016,2.9985
11.0360,0.014,2.9975
11.0380,0.014,2.9975
11.0400,0.006,2.9975
11.0420,0.008,2.9975
11.0440,0.008,2.9975
11.0460,0.008,2.9975
11.0480,0.006,2.9975
11.0500,0.014,2.9975
11.0520,0.012,2.9975
11.0540,0.006,2.9975
11.0560,0.012,2.9975
11.0580,0.012,2.9975
11.0600,0.016,2.9985
11.0620,0.02,2.9975
11.0640,0.006,2.9985
11.0660,0.014,2.9975
11.0680,0.014,2.9975
11.0700,0.014,2.9975
11.0720,0.008,2.9975
11.0740,0.014,2.997
11.0760,0.012,2.997
11.0780,0.008,2.9975
11.0800,0.012,2.9985
11.0820,0.006,2.997
11.0840,0.012,2.9985
11.0860,0.014,2.9985
11.0880,0.014,2.9975
11.0900,0.006,2.997
11.0920,0.008,2.9975
11.0940,0.012,2.9975
11.0960,0,2.9975
11.0980,0.012,2.9975
11.1000,0.012,2.999
11.1020,0.014,2.9975
11.1040,0.008,2.997
11.1060,0.008,2.9975
11.1080,0.006,2.9985
11.1100,0.014,2.9975
11.1120,0.012,2.997
11.1140,0.012,2.9975
11.1160,0.004,2.9975
11.1180,0.006,2.9975
11.1200,0.006,2.9975
11.1220,0.006,2.9975
11.1240,0.012,2.9975
11.1260,0.016,2.9975
11.1280,0.008,2.9975
11.1300,0.012,2.997
11.1320,0.012,2.9985
11.1340,0.006,2.9975
11.1360,0.006,2.9985
11.1380,0.008,2.9975
11.1400,0.012,2.997
11.1420,0.008,2.9975
11.1440,0.016,2.9975
11.1460,0.008,2.9985
11.1480,0.012,2.9975
11.1500,0.006,2.9975
11.1520,0.012,2.9975
11.1540,0.008,2.9985
11.1560,0.012,2.997
11.1580,0.02,2.9975
11.1600,0.012,2.9975
11.1620,0.008,2.9975
11.1640,0.012,2.9975
11.1660,0.008,2.997
11.1680,0.012,2.9975
11.1700,0.008,2.9985
11.1720,0.008,2.9975
11.1740,0.014,2.9975
11.1760,0.008,2.997
11.1780,0.008,2.9975
11.1800,0.02,2.9975
11.1820,0.006,2.9975
11.1840,0.012,2.9975
11.1860,0.012,2.9975
11.1880,0.014,2.9975
11.1900,0.008,2.997
11.1920,0.012,2.9975
11.1940,0.014,2.9975
11.1960,0.012,2.9975
11.1980,0.012,2.9975
11.2000,0.008,2.9975
11.2020,0.012,2.9975
11.2040,0.012,2.9975
11.2060,0.016,2.9975
11.2080,0.016,2.9975
11.2100,0.006,2.9975
11.2120,0.012,2.9975
11.2140,0.016,2.9975
11.2160,0.012,2.9975
11.2180,0.014,2.9985
11.2200,0.006,2.9975
11.2220,0.012,2.9975
11.2240,0.012,2.997
11.2260,0.008,2.997
11.2280,0.014,2.9985
11.2300,0.208,2.9985
11.2320,0.008,2.9975
11.2340,0.006,2.9975
11.2360,0.012,2.9975
11.2380,0.014,2.9985
11.2400,0.006,2.997
11.2420,0.008,2.997
11.2440,0.008,2.997
11.2460,0.012,2.9975
11.2480,0.008,2.997
11.2500,0.016,2.997
11.2520,0.008,2.9985
11.2540,0.012,2.9975
11.2560,0.012,2.9975
11.2580,0.006,2.9985
11.2600,0.012,2.9975
11.2620,0.006,2.9975
11.2640,0.008,2.9975
11.2660,0.012,2.9985
11.2680,0.012,2.9975
11.2700,0.008,2.9985
11.2720,0.006,2.9975
11.2740,0.008,2.9975
11.2760,0.008,2.9975
11.2780,0.012,2.9975
11.2800,0.008,2.9975
11.2820,0.008,2.9985
11.2840,0.008,2.9975
11.2860,0.014,2.9975
11.2880,0.014,2.9975
11.2900,0.008,2.9975
11.2920,0.014,2.9985
11.2940,0.012,2.9975
11.2960,0.014,2.9975
11.2980,0.016,2.9985
11.3000,0.21,2.9985
11.3020,0.014,2.9975
11.3040,0.02,2.9985
11.3060,0.014,2.9975
11.3080,0.006,2.9975
11.3100,0.016,2.9985
11.3120,0.008,2.9975
11.3140,0.014,2.9965
11.3160,0.004,2.9985
11.3180,0.022,2.9975
11.3200,0.016,2.9975
11.3220,0.012,2.997
11.3240,0.006,2.9975
11.3260,0.008,2.9965
11.3280,0.006,2.9985
11.3300,0.012,2.9985
11.3320,0.012,2.9975
11.3340,0.014,2.9985
11.3360,0.008,2.9975
11.3380,0.006,2.9975
11.3400,0.016,2.9975
11.3420,0.008,2.9975
11.3440,0.012,2.997
11.3460,0.012,2.9975
11.3480,0.012,2.9975
11.3500,0,2.9975
11.3520,0.004,2.9985
11.3540,0.012,2.9985
11.3560,0.012,2.9985
11.3580,0.014,2.9975
11.3600,0.004,2.9975
11.3620,0.014,2.9985
11.3640,0.008,2.9975
11.3660,0.008,2.9965
11.3680,0.016,2.9975
11.3700,0.006,2.9985
11.3720,0.008,2.9975
11.3740,0.006,2.9975
11.3760,0,2.9965
11.3780,0.014,2.997
11.3800,0.012,2.997
11.3820,0.012,2.9975
11.3840,0.004,2.9975
11.3860,0.008,2.9975
11.3880,0.008,2.997
11.3900,0.008,2.9975
11.3920,0.004,2.997
11.3940,0.014,2.997
11.3960,0.014,2.9975
11.3980,0.014,2.9985
11.4000,0.012,2.9985
11.4020,0.012,2.9975
11.4040,0.012,2.997
11.4060,0.006,2.9975
11.4080,0.014,2.9975
11.4100,0.012,2.9985
11.4120,0.012,2.9975
11.4140,0.008,2.9975
11.4160,0.008,2.9975
11.4180,0.014,2.997
11.4200,0.012,2.9985
11.4220,0.008,2.9965
11.4240,0.012,2.997
11.4260,0.012,2.9975
11.4280,0.006,2.9975
11.4300,0.014,2.9975
11.4320,0.014,2.9975
11.4340,0.014,2.9975
11.4360,0.02,2.9975
11.4380,0.012,2.9975
11.4400,0.012,2.9975
11.4420,0.012,2.9975
11.4440,0.012,2.9975
11.4460,0.008,2.9975
11.4480,0.012,2.9985
11.4500,0.012,2.9975
11.4520,0.014,2.9985
11.4540,0.014,2.997
11.4560,0.012,2.9985
11.4580,0.012,2.9975
11.4600,0.014,2.9985
11.4620,0.012,2.997
11.4640,0.014,2.9975
11.4660,0.006,2.997
11.4680,0.016,2.997
11.4700,0.014,2.997
11.4720,0.006,2.9975
11.4740,0.016,2.997
11.4760,0.006,2.9985
11.4780,0.014,2.9975
11.4800,0.014,2.9975
11.4820,0.004,2.9975
11.4840,0.014,2.9985
11.4860,0.006,2.9975
11.4880,0.016,2.9975
11.4900,0.016,2.9975
11.4920,0.006,2.997
11.4940,0.008,2.9975
11.4960,0.012,2.9975
11.4980,0.008,2.9975
11.5000,0.014,2.9975
11.5020,0.012,2.9975
11.5040,0.006,2.9985
11.5060,0.008,2.997
11.5080,0.008,2.9975
11.5100,0.016,2.9975
11.5120,0.016,2.9975
11.5140,0.012,2.9975
11.5160,0.014,2.9985
11.5180,0.008,2.9975
11.5200,0.02,2.9975
11.5220,0.014,2.9975
11.5240,0.012,2.997
11.5260,0.012,2.997
11.5280,0.016,2.9975
11.5300,0.008,2.9975
11.5320,0.006,2.9975
11.5340,0.006,2.9985
11.5360,0.004,2.9985
11.5380,0.012,2.9975
11.5400,0.008,2.9975
11.5420,0.012,2.9975
11.5440,0.008,2.9975
11.5460,0.006,2.9985
11.5480,0.008,2.9975
11.5500,0.014,2.9975
11.5520,0.012,2.9975
11.5540,0.008,2.9975
11.5560,0.014,2.9975
11.5580,0.008,2.9975
11.5600,0.006,2.9975
11.5620,0.012,2.9975
11.5640,0.006,2.9975
11.5660,0.014,2.9975
11.5680,0.012,2.9975
11.5700,0.014,2.9985
11.5720,0.006,2.9975
11.5740,0.008,2.9975
11.5760,0.016,2.9975
11.5780,0.008,2.9975
11.5800,0.016,2.9975
11.5820,0,2.9975
11.5840,0.012,2.997
11.5860,0.014,2.9975
11.5880,0.008,2.9975
11.5900,0.006,2.9965
11.5920,0.012,2.9985
11.5940,0.014,2.9975
11.5960,0.012,2.9975
11.5980,0.012,2.9975
11.6000,0.014,2.9975
11.6020,0.012,2.997
11.6040,0.008,2.997
11.6060,0.18,2.9975
11.6080,7.296,2.9965
11.6100,0.012,2.9975
11.6120,0.012,2.9975
11.6140,0.012,2.9985
11.6160,0.016,2.9975
11.6180,0.008,2.997
11.6200,0.014,2.9975
11.6220,0.012,2.9975
11.6240,0.014,2.9975
11.6260,0.012,2.9975
11.6280,0.014,2.9975
11.6300,0.012,2.9975
11.6320,0.02,2.9975
11.6340,0.016,2.9975
11.6360,0.012,2.9975
11.6380,0.006,2.997
11.6400,0.02,2.9985
11.6420,0.012,2.9975
11.6440,0.012,2.9975
11.6460,0.008,2.9985
11.6480,0.006,2.997
11.6500,0.012,2.9985
11.6520,0.014,2.9985
11.6540,0.004,2.9975
11.6560,0.012,2.997
11.6580,0.012,2.997
11.6600,0.014,2.997
11.6620,0.012,2.9985
11.6640,0.014,2.9985
11.6660,0.014,2.9975
11.6680,0.012,2.9985
11.6700,0.008,2.997
11.6720,0.014,2.9975
11.6740,0.008,2.9975
11.6760,0.012,2.9975
11.6780,0.014,2.9975
11.6800,0.014,2.9975
11.6820,0.016,2.9975
11.6840,0.012,2.9985
11.6860,0.012,2.9975
11.6880,0.012,2.9975
11.6900,0.006,2.997
11.6920,0.008,2.9975
11.6940,0.014,2.9985
11.6960,0.014,2.997
11.6980,0.212,2.9975
11.7000,0.008,2.997
11.7020,0.016,2.9975
11.7040,0.008,2.9975
11.7060,0.004,2.9975
11.7080,0.008,2.997
11.7100,0.006,2.9975
11.7120,0.012,2.9975
11.7140,0.012,2.9975
11.7160,0.016,2.9975
11.7180,0.016,2.9975
11.7200,0.012,2.9975
11.7220,0.008,2.997
11.7240,0.014,2.9975
11.7260,0.008,2.9975
11.7280,0.012,2.9975
11.7300,0.006,2.997
11.7320,0.014,2.9985
11.7340,0.008,2.9985
11.7360,0.006,2.9975
11.7380,0.02,2.9975
11.7400,0.008,2.9985
11.7420,0.014,2.9975
11.7440,0.012,2.9975
11.7460,0.008,2.997
11.7480,0.012,2.9975
11.7500,0.012,2.9985
11.7520,0.006,2.9975
11.7540,0.008,2.9975
11.7560,0.016,2.997
11.7580,0.014,2.9975
11.7600,0.006,2.9975
11.7620,0.014,2.9975
11.7640,0.014,2.9975
11.7660,0.008,2.9975
11.7680,0.012,2.997
11.7700,0.008,2.9975
11.7720,0.012,2.9975
11.7740,0.022,2.9975
11.7760,0.012,2.9975
11.7780,0.014,2.9975
11.7800,0.014,2.9985
11.7820,0.008,2.9985
11.7840,0.008,2.9985
11.7860,0.012,2.9985
11.7880,0.008,2.9975
11.7900,0.016,2.9975
11.7920,0.014,2.9985
11.7940,0.014,2.9975
11.7960,0.012,2.9975
11.7980,0.012,2.9975
11.8000,0.014,2.9985
11.8020,0.012,2.9985
11.8040,0.008,2.9975
11.8060,0.012,2.9975
11.8080,0.006,2.9975
11.8100,0.02,2.9975
11.8120,0.016,2.9975
11.8140,0.008,2.9975
11.8160,0.004,2.9975
11.8180,0.008,2.9975
11.8200,0.012,2.9985
11.8220,0.014,2.9985
11.8240,0.014,2.997
11.8260,0.016,2.9985
11.8280,0.02,2.9975
11.8300,0.004,2.9985
11.8320,0.008,2.9965
11.8340,0.006,2.9975
11.8360,0.012,2.9985
11.8380,0.044,2.9975
11.8400,0.004,2.997
11.8420,0.014,2.9975
11.8440,0.006,2.9975
11.8460,0.016,2.9975
11.8480,0.016,2.9975
11.8500,0.008,2.9975
11.8520,0.008,2.9975
11.8540,0.014,2.9975
11.8560,0.012,2.997
11.8580,0.012,2.9985
11.8600,0.008,2.9985
11.8620,0.012,2.9975
11.8640,0.016,2.9985
11.8660,0.008,2.9985
11.8680,0.012,2.997
11.8700,0.012,2.997
11.8720,0.004,2.9975
11.8740,0.014,2.9975
11.8760,0.008,2.9975
11.8780,0.008,2.9975
11.8800,0.012,2.9985
11.8820,0.014,2.9985
11.8840,0.014,2.9975
11.8860,0.016,2.9975
11.8880,0.014,2.9975
11.8900,0.008,2.997
11.8920,0.014,2.9975
11.8940,0.012,2.9975
11.8960,0.012,2.9985
11.8980,0.016,2.9975
11.9000,0.014,2.997
11.9020,0.012,2.997
11.9040,0.014,2.997
11.9060,0.012,2.9975
11.9080,0.014,2.9975
11.9100,0.014,2.9975
11.9120,0.012,2.9975
11.9140,0.008,2.9985
11.9160,0.012,2.9985
11.9180,0.02,2.9985
11.9200,0.012,2.9975
11.9220,0.006,2.9975
11.9240,0.014,2.9985
11.9260,0.012,2.9975
11.9280,0.008,2.9975
11.9300,0.014,2.997
11.9320,0.014,2.9975
11.9340,0.006,2.9975
11.9360,0.022,2.9975
11.9380,0.014,2.9975
11.9400,0.012,2.9975
11.9420,0.006,2.9975
11.9440,0.012,2.9985
11.9460,0.016,2.9975
11.9480,0.014,2.9985
11.9500,0.012,2.9985
11.9520,0.012,2.9975
11.9540,0.02,2.9985
11.9560,0.02,2.9975
11.9580,0.014,2.9975
11.9600,0.016,2.9975
11.9620,0.016,2.997
11.9640,0.012,2.997
11.9660,0.006,2.9975
11.9680,0.006,2.9975
11.9700,0.016,2.9975
11.9720,0.02,2.9975
11.9740,0.014,2.9975
11.9760,0.014,2.9975
11.9780,0.008,2.9975
11.9800,0.008,2.9975
11.9820,0.006,2.9975
11.9840,0.016,2.9975
11.9860,0.008,2.997
11.9880,0.004,2.9975
11.9900,0.02,2.9985
11.9920,0.006,2.9975
11.9940,0.006,2.9975
11.9960,0.014,2.997
11.9980,0.012,2.9975
12.0000,0.016,2.9975
12.0020,0.006,2.9975
12.0040,0.012,2.9975
12.0060,0,2.9975
12.0080,0.016,2.9975
12.0100,0.012,2.997
12.0120,0.008,2.9975
12.0140,0.016,2.9985
12.0160,0.016,2.9975
12.0180,0.016,2.9985
12.0200,0.012,2.9975
12.0220,0.012,2.9975
12.0240,0.204,2.9975
12.0260,0.012,2.9985
12.0280,0.008,2.9975
12.0300,0.008,2.9975
12.0320,0.014,2.9975
12.0340,0.02,2.9975
12.0360,0.016,2.9975
12.0380,0.016,2.9975
12.0400,0.012,2.9975
12.0420,0.006,2.9985
12.0440,0.014,2.9975
12.0460,0.008,2.9965
12.0480,0.012,2.9975
12.0500,0.006,2.9975
12.0520,0.014,2.997
12.0540,0.012,2.997
12.0560,0.012,2.9985
12.0580,0.008,2.9975
12.0600,0.006,2.9975
12.0620,0.014,2.9975
12.0640,0.014,2.9975
12.0660,0.012,2.9975
12.0680,0.008,2.9975
12.0700,0.016,2.9975
12.0720,0.012,2.9985
12.0740,0.014,2.9985
12.0760,0.014,2.9975
12.0780,0.012,2.9975
12.0800,0.012,2.9975
12.0820,0.016,2.9975
12.0840,0.014,2.9975
12.0860,0.014,2.9985
12.0880,0.012,2.9975
12.0900,0.014,2.9975
12.0920,0.012,2.9975
12.0940,0.016,2.9975
12.0960,0.008,2.9975
12.0980,0.014,2.997
12.1000,0.008,2.9985
12.1020,0.012,2.9975
12.1040,0.012,2.9975
12.1060,0.012,2.9975
12.1080,0.008,2.9975
12.1100,0.016,2.9985
12.1120,0.008,2.997
12.1140,0.014,2.997
12.1160,0.014,2.997
12.1180,0.006,2.997
12.1200,0.006,2.9975
12.1220,0.006,2.9975
12.1240,0.012,2.9985
12.1260,0.012,2.9975
12.1280,0.012,2.9975
12.1300,0.014,2.9975
12.1320,0.008,2.9975
12.1340,0.008,2.9975
12.1360,0.014,2.9975
12.1380,0.014,2.9975
12.1400,0.014,2.997
12.1420,0.008,2.9985
12.1440,0.012,2.997
12.1460,0.012,2.9975
12.1480,0.016,2.9975
12.1500,0.012,2.9975
12.1520,0.008,2.997
12.1540,0.016,2.9975
12.1560,0.012,2.9985
12.1580,0.004,2.9975
12.1600,0.02,2.9975
12.1620,0.008,2.997
12.1640,0.02,2.9975
12.1660,0.014,2.9975
12.1680,0.016,2.9985
12.1700,0.008,2.9975
12.1720,0.006,2.9975
12.1740,0.012,2.9985
12.1760,0.014,2.9975
12.1780,0.014,2.9975
12.1800,0.012,2.9975
12.1820,0.012,2.997
12.1840,0.014,2.997
12.1860,0.014,2.9975
12.1880,0.008,2.9975
12.1900,0.014,2.9975
12.1920,0.008,2.9985
12.1940,0.016,2.9975
12.1960,0.016,2.9975
12.1980,0.016,2.9975
12.2000,0.02,2.9985
12.2020,0.016,2.9975
12.2040,0.012,2.9975
12.2060,0.008,2.9985
12.2080,0.014,2.9975
12.2100,0.004,2.9975
12.2120,0.012,2.9975
12.2140,0.008,2.9975
12.2160,0.006,2.9975
12.2180,0.008,2.9975
12.2200,0.008,2.9985
12.2220,0.006,2.9985
12.2240,0.014,2.9975
12.2260,0.008,2.9975
12.2280,0.012,2.997
12.2300,0.012,2.9975
12.2320,0.014,2.9985
12.2340,0.014,2.9975
12.2360,0.012,2.997
12.2380,0.016,2.9975
12.2400,0.012,2.9975
12.2420,0.016,2.997
12.2440,0.012,2.9975
12.2460,0.006,2.9975
12.2480,0.014,2.9975
12.2500,0.014,2.997
12.2520,0.012,2.9975
12.2540,0.016,2.9975
12.2560,0.008,2.9975
12.2580,0.012,2.9985
12.2600,0.012,2.9975
12.2620,0.016,2.997
12.2640,0.014,2.9975
12.2660,0.012,2.9975
12.2680,0.008,2.9975
12.2700,0.008,2.9985
12.2720,0.006,2.9975
12.2740,0.012,2.997
12.2760,0.014,2.9975
12.2780,0.02,2.9975
12.2800,0.2,2.9985
12.2820,0.012,2.9975
12.2840,0.014,2.9975
12.2860,0.006,2.9975
12.2880,0.016,2.9975
12.2900,0.012,2.997
12.2920,0.008,2.9985
12.2940,0.008,2.997
12.2960,0.012,2.997
12.2980,0.012,2.9975
12.3000,0.012,2.9975
12.3020,0.014,2.9975
12.3040,0.008,2.9985
12.3060,0.008,2.9975
12.3080,0.012,2.997
12.3100,0.014,2.9975
12.3120,0.008,2.9975
12.3140,0.008,2.9975
12.3160,0.006,2.997
12.3180,0.016,2.9975
12.3200,0.008,2.9975
12.3220,0.008,2.9975
12.3240,0.014,2.997
12.3260,0.008,2.9975
12.3280,0.012,2.9985
12.3300,0.008,2.997
12.3320,0.014,2.9975
12.3340,0.006,2.9975
12.3360,0.008,2.9975
12.3380,0.008,2.9985
12.3400,0.014,2.9975
12.3420,0.012,2.997
12.3440,0.012,2.9975
12.3460,0.012,2.9975
12.3480,0.008,2.997
12.3500,0.004,2.9975
12.3520,0.014,2.9975
12.3540,0.006,2.9975
12.3560,0.008,2.997
12.3580,0.008,2.9985
12.3600,0.016,2.9975
12.3620,0.004,2.9975
12.3640,0.014,2.9985
12.3660,0.008,2.9975
12.3680,0.006,2.9975
12.3700,0.008,2.9975
12.3720,0.012,2.9985
12.3740,0.014,2.9975
12.3760,0.008,2.9975
12.3780,0.008,2.9975
12.3800,0.008,2.9975
12.3820,0.014,2.9985
12.3840,0.012,2.9975
12.3860,0.012,2.997
12.3880,0.012,2.9985
12.3900,0.012,2.997
12.3920,0.008,2.997
12.3940,0.008,2.9975
12.3960,0.008,2.997
12.3980,0.008,2.9975
12.4000,0.012,2.9975
12.4020,0.008,2.9975
12.4040,0.014,2.9975
12.4060,0.012,2.9975
12.4080,0.014,2.9975
12.4100,0.008,2.9975
12.4120,0.012,2.9975
12.4140,0.008,2.997
12.4160,0.014,2.9975
12.4180,0.014,2.9975
12.4200,0.014,2.9975
12.4220,0.006,2.9975
12.4240,0.016,2.9985
12.4260,0.006,2.997
12.4280,0.006,2.9975
12.4300,0.012,2.9975
12.4320,0.012,2.997
12.4340,0.004,2.9975
12.4360,0.016,2.9985
12.4380,0.008,2.9975
12.4400,0.008,2.9975
12.4420,0.012,2.997
12.4440,0.012,2.9975
12.4460,0.012,2.997
12.4480,0.012,2.9975
12.4500,0.006,2.9975
12.4520,0.012,2.9985
12.4540,0.012,2.9975
12.4560,0.008,2.997
12.4580,0.012,2.9975
12.4600,0.012,2.9975
12.4620,0.014,2.9975
12.4640,0.008,2.9975
12.4660,0.012,2.9975
12.4680,0.008,2.9975
12.4700,0.012,2.9975
12.4720,0.008,2.9985
12.4740,0.016,2.9975
12.4760,0.016,2.9975
12.4780,0.012,2.9985
12.4800,0.014,2.9985
12.4820,0.022,2.999
12.4840,0.006,2.9975
12.4860,0.008,2.9975
12.4880,0.014,2.9975
12.4900,0.016,2.9975
12.4920,0.012,2.9985
12.4940,0.008,2.9975
12.4960,0.014,2.9975
12.4980,0.014,2.9975
12.5000,0.006,2.9975
12.5020,0.012,2.9975
12.5040,0.006,2.9975
12.5060,0.006,2.9985
12.5080,0.016,2.9975
12.5100,0.016,2.9985
12.5120,0.022,2.9975
12.5140,0.012,2.9985
12.5160,0.208,2.9975
12.5180,0.012,2.9975
12.5200,0.008,2.9975
12.5220,0.012,2.9985
12.5240,0.006,2.9985
12.5260,0.012,2.9975
12.5280,0.012,2.9985
12.5300,0.012,2.997
12.5320,0.008,2.9975
12.5340,0.014,2.9975
12.5360,0.012,2.9975
12.5380,0.012,2.9985
12.5400,0.012,2.9985
12.5420,0.012,2.9975
12.5440,0.008,2.9975
12.5460,0.008,2.9975
12.5480,0.014,2.9975
12.5500,0.012,2.997
12.5520,0.008,2.9975
12.5540,0.012,2.9975
12.5560,0.014,2.9985
12.5580,0.016,2.9975
12.5600,0.006,2.9975
12.5620,0.008,2.9975
12.5640,0.012,2.997
12.5660,0.012,2.9975
12.5680,0.012,2.9975
12.5700,0.008,2.9975
12.5720,0.008,2.9975
12.5740,0.012,2.9975
12.5760,0.012,2.9975
12.5780,0.012,2.9985
12.5800,0.006,2.9975
