Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.4580,0.012,2.9975
0.4600,0.006,2.9975
0.4620,0.014,2.9975
0.4640,0.006,2.9985
0.4660,0.008,2.997
0.4680,0.016,2.997
0.4700,0.014,2.9975
0.4720,0.014,2.9975
0.4740,0.012,2.9975
0.4760,0.016,2.9975
0.4780,0.012,2.9975
0.4800,0.006,2.997
0.4820,0.014,2.9975
0.4840,0.016,2.9975
0.4860,0.014,2.9975
0.4880,0.012,2.997
0.4900,0.014,2.9975
0.4920,0.006,2.9975
0.4940,0.016,2.9975
0.4960,0.014,2.9975
0.4980,0.014,2.9975
0.5000,0.012,2.9985
0.5020,0.016,2.9975
0.5040,0.014,2.997
0.5060,0.012,2.9975
0.5080,0.014,2.9975
0.5100,0.012,2.9985
0.5120,0.014,2.997
0.5140,0.008,2.9985
0.5160,0.008,2.9975
0.5180,0.014,2.997
0.5200,0.008,2.9975
0.5220,0.014,2.9975
0.5240,0.016,2.997
0.5260,0.008,2.9975
0.5280,0.02,2.9975
0.5300,0.014,2.9985
0.5320,0.004,2.9975
0.5340,0.014,2.997
0.5360,0.014,2.9975
0.5380,0.006,2.9975
0.5400,0.014,2.9975
0.5420,0.012,2.9975
0.5440,0.012,2.9975
0.5460,0.012,2.997
0.5480,0.008,2.997
0.5500,0.012,2.9975
0.5520,0.006,2.9975
0.5540,0.008,2.9975
0.5560,0.014,2.9985
0.5580,0.014,2.9985
0.5600,0.014,2.997
0.5620,0.008,2.9975
0.5640,0.012,2.9975
0.5660,0.006,2.9975
0.5680,0.012,2.9975
0.5700,0.192,2.9975
0.5720,6.084,2.997
0.5740,0.012,2.9975
0.5760,0.012,2.9975
0.5780,0.008,2.997
0.5800,0.006,2.997
0.5820,0.012,2.9985
0.5840,0.012,2.997
0.5860,0.012,2.997
0.5880,0.008,2.9975
0.5900,0.004,2.9975
0.5920,0.01,2.9975
0.5940,0.012,2.9975
0.5960,0.012,2.9985
0.5980,0,2.9975
0.6000,0.008,2.9975
0.6020,0.01,2.9975
0.6040,0.008,2.997
0.6060,0.01,2.9975
0.6080,0.012,2.9975
0.6100,0.01,2.997
0.6120,0.012,2.9975
0.6140,0.012,2.9975
0.6160,0.012,2.9975
0.6180,0.016,2.9975
0.6200,0.008,2.9975
0.6220,0.016,2.9985
0.6240,0.008,2.9975
0.6260,0.01,2.9985
0.6280,0.004,2.9975
0.6300,0.016,2.9985
0.6320,0.008,2.9975
0.6340,0.004,2.9975
0.6360,0.01,2.997
0.6380,0.01,2.9975
0.6400,0.01,2.9975
0.6420,0.012,2.9975
0.6440,0.008,2.9975
0.6460,0.008,2.9975
0.6480,0.008,2.9975
0.6500,0.008,2.9975
0.6520,0.01,2.9975
0.6540,0.018,2.9975
0.6560,0.01,2.9975
0.6580,0.004,2.997
0.6600,0.01,2.997
0.6620,0.008,2.9975
0.6640,0.008,2.9975
0.6660,0.01,2.9975
0.6680,0.008,2.9985
0.6700,0.01,2.9985
0.6720,0.012,2.9975
0.6740,0.008,2.9975
0.6760,0.016,2.9975
0.6780,0.008,2.9975
0.6800,0.008,2.9975
0.6820,0.01,2.9975
0.6840,0.004,2.9975
0.6860,0.01,2.9975
0.6880,0.01,2.9975
0.6900,0.01,2.9985
0.6920,0.01,2.9975
0.6940,0.008,2.9975
0.6960,0.01,2.9975
0.6980,0.01,2.9985
0.7000,0.008,2.9985
0.7020,0.008,2.9985
0.7040,0.008,2.9975
0.7060,0.004,2.9975
0.7080,0.206,2.9975
0.7100,0.01,2.9985
0.7120,0.008,2.9975
0.7140,0.01,2.9985
0.7160,0.008,2.9985
0.7180,0.01,2.9975
0.7200,0.008,2.997
0.7220,0.01,2.9975
0.7240,0.004,2.9975
0.7260,0.008,2.9975
0.7280,0.004,2.9975
0.7300,0.008,2.997
0.7320,0.008,2.9975
0.7340,0.008,2.9985
0.7360,0.012,2.9975
0.7380,0.016,2.9985
0.7400,0.01,2.9975
0.7420,0.01,2.9975
0.7440,0.002,2.9975
0.7460,0.008,2.997
0.7480,0.01,2.9975
0.7500,0.01,2.9975
0.7520,0.012,2.9975
0.7540,0.01,2.9975
0.7560,0.002,2.997
0.7580,0.012,2.997
0.7600,0.008,2.9975
0.7620,0.02,2.9985
0.7640,0.008,2.9975
0.7660,0.016,2.9975
0.7680,0.012,2.9975
0.7700,0.004,2.9975
0.7720,0.008,2.9975
0.7740,0.004,2.9975
0.7760,0.008,2.9975
0.7780,0.01,2.9975
0.7800,0.002,2.9985
0.7820,0.008,2.9975
0.7840,0.008,2.997
0.7860,0.008,2.9975
0.7880,0.008,2.9975
0.7900,0.012,2.9975
0.7920,0.004,2.9985
0.7940,0.008,2.997
0.7960,0.01,2.9975
0.7980,0.008,2.9985
0.8000,0.008,2.997
0.8020,0.01,2.9985
0.8040,0.01,2.997
0.8060,0.008,2.9985
0.8080,0.008,2.9975
0.8100,0.016,2.9985
0.8120,0.012,2.9975
0.8140,0.004,2.9975
0.8160,0,2.997
0.8180,0.008,2.9985
0.8200,0.008,2.9975
0.8220,0.004,2.9975
0.8240,0.01,2.9985
0.8260,0.004,2.9975
0.8280,0.012,2.9975
0.8300,0.01,2.997
0.8320,0.004,2.9975
0.8340,0.01,2.9975
0.8360,0.008,2.997
0.8380,0.012,2.9975
0.8400,0.012,2.9985
0.8420,0.01,2.9985
0.8440,0.004,2.9975
0.8460,0.01,2.9985
0.8480,0.012,2.9985
0.8500,0.008,2.9975
0.8520,0.004,2.9985
0.8540,0.002,2.9975
0.8560,0.008,2.997
0.8580,0.012,2.997
0.8600,0.01,2.9985
0.8620,0.01,2.997
0.8640,0.01,2.9975
0.8660,0.004,2.9975
0.8680,0.008,2.9965
0.8700,0.004,2.997
0.8720,0.018,2.9975
0.8740,0.008,2.9985
0.8760,0.01,2.997
